
ssqwerty,57544,57,500,1761052334,5181264708
18612160829,48406,37,500,414108370,2989059837
wang25687,24035,18,500,1062392091,2883369939
15504973518,79653,38,400,204449017,2081835440
13812788376,82371,40,400,133465293,1138060945
457181660,34516,45,400,112479248,877062607
15686784340,51168,13,150,108632977,765683970
z7211191,76314,16,400,270496675,1670943831
shinecy1126,46961,12,150,75727969,648929332
lonely7201984,133592,17,400,77193869,591164319
liu271,116055,13,400,121585515,909407465
cq1473691,19641,3,400,17950886,38364523
cq1473693,13982,0,400,7380717,21634397
cq147369,16196,0,250,3114191,12922370
muyang1,57612,3,400,43760128,288922421
muyang2,25499,4,400,38700498,272619890
1358177 yubei,16628,17,400,52693907,418885654
1770994 yubeiyi,18368,13,400,37040364,324560501
1861216 jia/ ,27343,3,400,90066471,671329821
12160829 yi,14323,3,400,74518872,602412620
134886 bing,20852,3,400,84480027,620837250
88699777 ding,21103,4,400,80157624,646016574
pgh123,24169,4,400,17720006,154921329
pgh1234,25231,9,400,14599297,130308963
pgh12345,21201,4,400,13995164,120248369
pgh123456,15119,0,400,16869193,126863366
pgh1234567,11476,5,0,11624700,83517231
pgh12345678,17380,8,0,13074149,105509694
pgh123456789,11362,3,0,16210150,121548034
pby123,14616,3,400,14269713,123593984
pby1234,15868,5,0,12193641,111344755
pby12345,10061,0,400,9400107,80151865
pby123456,37151,0,400,9203823,83504469
pby1234567,39445,10,400,6688184,45659114
pby12345678,48886,0,400,5360213,22091505
pby123456789,11827,0,0,1666524,29765689
ssqwerty,53733,57,500,1761964446,5182527891
18612160829,42773,37,500,414702770,2992562522
wang25687,20145,18,500,1063173198,2884351243
15504973518,73093,38,400,204798297,2085376364
13812788376,77452,40,400,133580772,1138284738
457181660,28177,45,400,113029888,882531719
15686784340,43717,13,150,108655119,765738138
z7211191,70495,16,400,270591477,1671079594
shinecy1126,39640,12,150,75754955,649001057
lonely7201984,126930,17,400,77285490,591291028
liu271,119671,13,400,121772472,909692438
cq1473691,21251,3,400,18040591,38485745
cq1473693,15592,0,400,7471844,21756186
cq147369,17645,0,250,3152426,12980035
muyang1,59388,3,400,43845310,289022086
muyang2,27134,4,400,38787532,272725230
1358177 yubei,18534,17,400,52778150,418980469
1770994 yubeiyi,20347,13,400,37126565,324661943
1861216 jia/ ,29438,3,400,90156334,671435159
12160829 yi,16401,3,400,74602842,602508467
134886 bing,22868,3,400,84587077,620952518
88699777 ding,22987,4,400,80240637,646107269
pgh123,25489,4,400,17802645,155011457
pgh1234,26431,9,400,14688338,130428193
pgh12345,22781,4,400,14082443,120356350
pgh123456,16289,0,400,16951911,126955541
pgh1234567,12906,5,0,11629984,83561997
pgh12345678,18910,8,0,13077634,105521935
pgh123456789,12652,3,0,16212782,121585061
pby123,16046,3,400,14353239,123686782
pby1234,17198,5,0,12195193,111481617
